City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Samandağ,36.08,35.98,69.8,83,0,2.17,TR,1599279583
Upernavik,72.79,-56.15,33.06,83,0,9.08,GL,1599279583
Kabanjahe,3.1,98.49,75.83,68,90,2.44,ID,1599279490
Labuhan,-6.88,112.21,87.03,57,14,3.83,ID,1599279584
Varkaus,62.32,27.87,59.0,87,75,10.29,FI,1599279584
Bacungan,9.91,118.7,88.95,62,79,3.4,PH,1599279584
Srednekolymsk,67.45,153.68,55.35,40,0,8.95,RU,1599279291
Manta,-0.95,-80.73,71.6,88,75,8.05,EC,1599279138
Alugan,12.22,125.48,86.85,66,64,6.78,PH,1599279586
Akdepe,42.06,59.38,64.4,45,49,6.93,TM,1599279586
Ilulissat,69.22,-51.1,39.2,80,94,4.7,GL,1599279586
Ararat,39.83,44.7,71.6,40,0,5.82,AM,1599279587
Wagar,16.15,36.2,82.51,66,0,13.58,SD,1599279220
Payo,-3.75,103.64,91.62,39,85,4.47,ID,1599279588
Borba,-4.39,-59.59,77.67,63,14,2.55,BR,1599279588
Karratha,-20.74,116.85,86.43,20,71,11.74,AU,1599279402
Changji,44.02,87.32,80.01,41,0,8.95,CN,1599279304
Ancud,-41.87,-73.82,39.0,93,100,4.81,CL,1599279589
Great Falls,47.5,-111.3,75.2,25,1,11.41,US,1599279589
Botwood,49.15,-55.35,66.0,91,79,1.01,CA,1599279589
Inírida,3.87,-67.92,75.69,86,100,3.06,CO,1599279328
Lorengau,-2.02,147.27,85.05,73,31,7.7,PG,1599279590
Richards Bay,-28.78,32.04,64.49,73,0,12.93,ZA,1599279321
Dawlatabad,36.41,64.91,83.16,15,0,4.72,AF,1599279591
Coolum Beach,-26.53,153.1,73.99,69,62,5.01,AU,1599279591
Takayama,36.13,137.25,89.6,70,20,11.41,JP,1599279591
Sakakah,29.97,40.21,80.6,12,0,5.82,SA,1599279376
Killybegs,54.63,-8.45,48.99,91,96,3.0,IE,1599279592
‘Āhuimanu,21.44,-157.84,86.0,61,75,8.05,US,1599279569
Calvinia,-31.47,19.78,47.28,67,72,4.43,ZA,1599279593
Fort Nelson,58.81,-122.7,53.6,81,75,3.36,CA,1599279594
Selizharovo,56.85,33.45,54.32,95,89,3.15,RU,1599279594
Ulladulla,-35.35,150.47,69.8,28,40,10.29,AU,1599279506
Chumikan,54.72,135.31,52.66,94,100,12.66,RU,1599279430
Cururupu,-1.83,-44.87,74.64,94,3,4.23,BR,1599279295
Sobolevo,54.43,31.9,52.75,88,19,2.1,RU,1599279411
Camrose,53.02,-112.84,60.01,73,75,1.01,CA,1599279305
Pisco,-13.7,-76.22,57.2,82,0,2.3,PE,1599279246
Young,-32.68,-57.63,48.99,90,63,1.01,UY,1599279596
Estevan,49.13,-102.98,57.0,66,1,6.93,CA,1599279597
Saint-Joseph,-21.37,55.62,66.2,88,75,8.05,RE,1599279494
Beringovskiy,63.05,179.32,45.68,71,99,14.18,RU,1599279597
Kirakira,-10.45,161.92,82.09,77,100,14.07,SB,1599279266
Pīlibhīt,28.63,79.8,84.2,83,24,2.24,IN,1599279598
Nanortalik,60.14,-45.24,46.29,83,96,15.26,GL,1599279598
Nizhniy Tsasuchey,50.52,115.13,58.3,81,100,10.78,RU,1599279356
Barra do Corda,-5.5,-45.25,73.96,58,36,1.7,BR,1599279599
Oneonta,42.45,-75.06,55.0,84,0,2.77,US,1599279272
Verbivka,49.42,35.53,67.1,31,100,16.51,UA,1599279600
Mayo,38.89,-76.51,78.8,61,1,10.31,US,1599279222
Guarapari,-20.67,-40.5,73.4,73,0,5.82,BR,1599279600
Marabu,4.41,114.01,84.2,79,40,9.17,MY,1599279600
Maní,4.82,-72.29,74.91,87,99,2.68,CO,1599279601
Saldanha,-33.01,17.94,55.4,87,81,2.24,ZA,1599279601
Karpathos,35.51,27.21,77.0,65,0,29.97,GR,1599279602
Alofi,-19.06,-169.92,77.0,53,75,12.75,NU,1599279316
Lugovoy,42.95,72.76,72.86,22,5,3.29,KZ,1599279602
Trairi,-3.28,-39.27,77.59,80,15,12.28,BR,1599279603
Zheleznodorozhnyy,55.75,38.0,57.0,81,100,6.71,RU,1599279454
Chincha Alta,-13.41,-76.13,57.2,82,0,1.77,PE,1599279603
Turaif,31.67,38.66,78.8,21,0,13.87,SA,1599279233
Cayenne,4.93,-52.33,77.0,94,0,9.33,GF,1599279604
Sinnamary,5.38,-52.95,78.6,84,2,9.53,GF,1599279604
Kondinskoye,59.65,67.41,47.1,72,55,12.03,RU,1599279605
Saint-Augustin,51.23,-58.65,56.43,74,80,11.25,CA,1599279289
Tazovsky,67.47,78.7,45.41,70,0,18.16,RU,1599279605
Talara,-4.58,-81.27,63.32,79,13,15.26,PE,1599279532
Faanui,-16.48,-151.75,77.36,77,52,13.04,PF,1599279105
Dhārchula,29.85,80.53,77.32,62,13,4.27,IN,1599279606
Bilma,18.69,12.92,89.11,36,0,8.16,NE,1599279416
Yerbogachën,61.28,108.01,66.09,79,61,6.73,RU,1599279607
Tías,28.96,-13.64,71.6,78,5,6.93,ES,1599279607
Camacha,33.08,-16.33,73.4,69,40,5.82,PT,1599279608
Lipari,38.47,14.95,71.6,83,20,2.24,IT,1599279608
Athabasca,54.72,-113.29,54.55,75,95,1.7,CA,1599279608
Burnie,-41.07,145.92,57.99,46,66,8.99,AU,1599279609
Salalah,17.02,54.09,78.8,83,75,2.24,OM,1599279340
Altamira,-3.2,-52.21,74.93,52,21,2.51,BR,1599279222
Srandakan,-7.94,110.25,84.47,56,11,12.75,ID,1599279610
Bubaque,11.28,-15.83,79.57,80,99,13.09,GW,1599279610
Tilichiki,60.47,166.1,50.18,52,0,10.71,RU,1599279181
Pochutla,15.74,-96.47,77.0,93,99,2.73,MX,1599279264
Tak,16.58,98.83,84.2,83,90,1.72,TH,1599279611
Hualmay,-11.1,-77.61,59.0,84,8,5.08,PE,1599279571
Provideniya,64.38,-173.3,44.53,60,55,2.33,RU,1599279612
Yangi Marg`ilon,40.43,71.72,77.0,29,0,2.24,UZ,1599279230
Asău,46.43,26.4,48.99,97,0,5.19,RO,1599279613
Cockburn Town,21.46,-71.14,83.16,79,97,19.22,TC,1599279613
Racine,42.75,-88.08,57.0,93,1,3.71,US,1599279613
Muli,2.92,73.57,82.65,77,81,17.52,MV,1599279614
Tawang Town,27.58,91.87,67.78,58,97,4.92,IN,1599279256
Vágur,61.47,-6.81,49.59,82,91,30.89,FO,1599279566
Alice Springs,-23.7,133.88,80.6,13,8,17.22,AU,1599279615
Nālūt,30.33,10.85,74.75,65,20,13.29,LY,1599279134
Arman',59.7,150.17,55.54,73,100,6.58,RU,1599279278
Taltal,-25.4,-70.48,54.82,74,27,3.76,CL,1599279617
Oranjemund,-28.55,16.43,55.09,81,67,4.43,NA,1599279547
Batagay-Alyta,67.8,130.41,56.3,54,75,2.3,RU,1599279617
Shetpe,44.17,52.12,67.64,40,0,11.01,KZ,1599279618
Manadhoo,5.77,73.38,82.47,79,78,18.41,MV,1599279556
Roebourne,-20.78,117.13,85.62,23,75,12.59,AU,1599279618
Sur,22.57,59.53,85.59,44,0,6.53,OM,1599279467
Hirara,24.8,125.28,86.0,79,75,14.99,JP,1599279276
Lethem,3.38,-59.8,77.38,79,40,6.46,GY,1599279150
Bullhead City,35.15,-114.57,99.0,12,0,5.28,US,1599279619
Ghātanji,20.13,78.32,85.14,72,73,3.06,IN,1599279619
Constitución,-35.33,-72.42,47.66,86,36,5.28,CL,1599279461
Bunia,1.57,30.25,61.92,90,41,1.3,CD,1599279620
Assiut,27.18,31.18,73.4,49,50,6.93,EG,1599279290
Hasaki,35.73,140.83,91.0,83,75,10.29,JP,1599279174
Nishihara,26.18,127.76,84.2,79,75,21.92,JP,1599279621
Tobermory,45.25,-81.67,45.0,92,0,16.06,CA,1599279622
Guerrero Negro,27.98,-114.06,74.34,74,0,14.0,MX,1599279305
Banepā,27.63,85.52,78.8,74,75,2.24,NP,1599279493
Mehrān,33.12,46.16,71.6,24,0,6.93,IR,1599279622
Inuvik,68.35,-133.72,42.8,70,75,8.05,CA,1599279333
Teya,60.38,92.63,51.85,84,100,8.39,RU,1599279623
General Cepeda,25.38,-101.45,70.54,62,45,7.65,MX,1599279623
Safi,32.3,-9.24,69.62,87,0,3.96,MA,1599279624
Esil,51.96,66.4,51.55,59,83,8.97,KZ,1599279624
Penzance,50.12,-5.54,54.0,93,6,10.29,GB,1599279624
Khovd,48.01,91.64,66.58,26,0,5.08,MN,1599279625
Kokemäki,61.26,22.36,57.2,93,20,8.05,FI,1599279625
Shimsk,58.21,30.71,52.61,86,41,6.89,RU,1599279625
Toro,4.61,-76.08,67.98,87,52,1.23,CO,1599279626
Egvekinot,66.32,-179.17,41.32,67,52,1.25,RU,1599279626
Kyabé,9.45,18.94,71.67,92,100,3.4,TD,1599279557
Santa Rosa,14.31,121.11,91.0,74,64,12.75,PH,1599279426
Sarkand,45.41,79.92,62.96,42,16,5.73,KZ,1599279579
Whitehorse,60.72,-135.05,48.2,70,75,8.05,CA,1599279627
Wanning,18.8,110.4,89.71,63,88,8.25,CN,1599279628
Port Hardy,50.7,-127.42,57.2,93,40,2.24,CA,1599279628
Jumla,29.27,82.18,73.27,44,0,3.8,NP,1599279629
Camopi,3.17,-52.32,71.56,96,39,2.3,GF,1599279629
Zhengjiatun,43.51,123.51,75.51,68,12,19.28,CN,1599279630
Namatanai,-3.67,152.43,85.1,67,93,9.33,PG,1599279245
Cap-aux-Meules,47.38,-61.86,63.61,78,76,13.0,CA,1599279630
Sitārganj,28.93,79.7,84.2,83,2,2.24,IN,1599279631
Harper,4.38,-7.72,75.25,87,99,9.6,LR,1599279369
Jalu,29.03,21.55,73.67,55,0,8.37,LY,1599279631
Goundam,16.41,-3.67,86.38,56,49,5.99,ML,1599279632
Erzin,36.96,36.2,80.01,81,0,8.99,TR,1599279632
Zhigansk,66.77,123.37,48.52,94,100,4.16,RU,1599279304
Buy,58.48,41.53,54.84,84,86,7.85,RU,1599279633
Pachino,36.72,15.09,72.0,78,0,5.28,IT,1599279633
Kavieng,-2.57,150.8,84.13,76,99,12.28,PG,1599279122
Basoko,1.24,23.62,71.53,84,100,1.1,CD,1599279634
Hamilton,39.18,-84.53,66.2,48,1,6.93,US,1599279425
Naze,28.37,129.48,82.4,83,75,20.8,JP,1599279635
Mpanda,-6.37,31.04,58.64,61,1,0.92,TZ,1599279635
Korla,41.76,86.15,79.68,18,24,8.37,CN,1599279636
Oktyabr'skiy,54.48,53.47,50.45,80,0,5.35,RU,1599279636
Mizdah,31.45,12.98,69.98,88,51,14.99,LY,1599279637
Kogon,39.72,64.55,73.4,46,0,6.93,UZ,1599279637
Dafeng,23.45,108.59,89.92,59,19,7.43,CN,1599279637
Rawson,-43.3,-65.1,42.46,68,0,6.26,AR,1599279231
Aquiraz,-3.9,-38.39,78.8,78,75,14.99,BR,1599279176
Lata,40.16,-8.33,66.99,93,75,6.93,PT,1599279295
Liverpool,53.41,-2.98,55.99,87,20,11.41,GB,1599279563
Mpika,-11.83,31.45,48.65,85,0,11.14,ZM,1599279545
Iquitos,-3.75,-73.25,74.01,90,63,1.16,PE,1599279149
Iguatemi,-23.68,-54.56,68.94,77,95,3.47,BR,1599279639
Boende,-0.22,20.87,72.12,85,100,2.46,CD,1599279640
Pilikwe,-22.8,27.19,51.82,91,0,5.84,BW,1599279640
Nouadhibou,20.93,-17.03,75.2,73,46,16.11,MR,1599279606
Xapuri,-10.65,-68.5,78.8,60,4,2.1,BR,1599279641
San Andrés,12.58,-81.7,80.6,88,75,3.36,CO,1599279604
Marhaura,25.97,84.87,87.8,70,40,6.93,IN,1599279641
Tessalit,20.2,1.01,84.87,49,32,7.05,ML,1599279641
Nekrasovka,48.35,135.23,77.0,47,20,8.95,RU,1599279642
Goderich,43.75,-81.72,68.0,55,31,17.18,CA,1599279184
Pundaguitan,6.37,126.17,84.63,68,2,5.59,PH,1599279643
Philadelphia,39.95,-75.16,77.0,53,40,8.05,US,1599279515
Port Blair,11.67,92.75,84.81,72,94,3.33,IN,1599279042
Acapulco de Juárez,16.86,-99.89,76.33,92,100,2.95,MX,1599279149
Port Lincoln,-34.73,135.87,61.38,62,41,0.4,AU,1599279644
Goianésia,-15.32,-49.12,66.92,38,7,4.94,BR,1599279644
Amapá,1.0,-52.0,71.91,87,12,3.33,BR,1599279645
Sisimiut,66.94,-53.67,45.3,65,100,7.61,GL,1599279232
Quatre Cocos,-20.21,57.76,71.01,77,75,17.22,MU,1599279404
Cherskiy,68.75,161.3,48.27,51,47,7.05,RU,1599279145
Turukhansk,65.82,87.98,51.26,70,100,19.95,RU,1599279644
Zhangaözen,43.3,52.8,71.82,35,36,13.24,KZ,1599279174
Lesosibirsk,58.24,92.48,52.75,69,100,6.85,RU,1599279647
Monzón,41.91,0.19,64.99,82,0,8.05,ES,1599279647
Haines Junction,60.75,-137.51,43.54,63,0,2.55,CA,1599279648
Monterey,36.25,-121.25,73.0,68,1,9.17,US,1599279431
Dixon,38.45,-121.82,78.8,44,1,9.82,US,1599279649
Rocha,-34.48,-54.33,42.84,86,97,1.81,UY,1599279649
Antalaha,-14.9,50.28,67.3,79,16,8.3,MG,1599279649
Kisangani,0.52,25.2,70.09,95,51,0.83,CD,1599279650
Biak,-0.91,122.88,83.12,71,60,6.04,ID,1599279650
Evensk,61.95,159.23,51.96,46,5,6.29,RU,1599279651
Maxixe,-23.86,35.35,68.97,66,100,11.01,MZ,1599279651
Tual,-5.67,132.75,80.42,81,32,21.41,ID,1599279147
Hennenman,-27.98,27.02,53.31,43,0,7.76,ZA,1599279652
Shimoda,34.67,138.95,86.0,79,20,12.75,JP,1599279233
Manggar,-2.88,108.27,83.1,78,100,15.75,ID,1599279652
Abu Samrah,35.3,37.18,81.75,22,0,4.34,SY,1599279653
La Ronge,55.1,-105.28,51.8,81,75,1.07,CA,1599279013
Odesskoye,54.21,72.97,48.49,74,92,14.25,RU,1599279653
Zapotiltic,19.62,-103.43,65.7,83,63,4.63,MX,1599279654
Khanbari,27.37,87.2,78.67,73,77,3.42,NP,1599279654
Leh,34.17,77.58,57.99,38,0,5.3,IN,1599279655
Port Augusta,-32.5,137.77,70.0,63,75,11.41,AU,1599279505
Macao,22.2,113.55,82.4,83,40,11.41,MO,1599279655
Christchurch,-43.53,172.63,60.01,51,100,11.41,NZ,1599279656
Fare,-16.7,-151.02,78.49,75,55,11.07,PF,1599279591
Petropavlovsk-Kamchatskiy,53.05,158.65,62.6,63,84,13.42,RU,1599279113
Alihe,50.57,123.72,54.72,92,100,5.53,CN,1599279657
Liberia,6.5,-9.5,69.91,96,77,0.43,LR,1599279294
Yermakovskoye,53.28,92.4,54.16,67,86,12.41,RU,1599279657
Mehamn,71.04,27.85,54.55,84,77,12.33,NO,1599279316
Tessaoua,13.76,7.99,78.13,71,60,9.4,NE,1599279658
Wuwei,37.93,102.64,77.68,21,98,18.75,CN,1599279658
Beidao,34.57,105.89,75.33,56,100,1.72,CN,1599279659
Kaoma,-14.78,24.8,53.53,55,0,6.17,ZM,1599279659
Wad Rāwah,15.16,33.14,79.54,70,59,6.55,SD,1599279659
Coahuayana Viejo,18.73,-103.68,80.49,91,92,1.45,MX,1599279660
Zyryanka,65.75,150.85,62.42,39,46,12.73,RU,1599279474
Villa Bruzual,9.33,-69.12,73.94,94,4,1.19,VE,1599279661
Río Gallegos,-51.62,-69.22,37.4,93,40,13.87,AR,1599279450
Nicoya,10.15,-85.45,75.56,91,100,2.04,CR,1599279661
Blagoyevo,63.37,47.92,53.94,88,84,7.85,RU,1599279662
Beira,-19.84,34.84,71.6,78,40,11.41,MZ,1599279662
Yarmouth,41.71,-70.23,71.01,60,40,6.93,US,1599279662
Camaná,-16.62,-72.71,58.46,79,12,8.61,PE,1599279418
Grindavik,63.84,-22.43,39.2,80,100,2.24,IS,1599279254
Sooke,48.37,-123.73,66.0,76,31,1.01,CA,1599279663
Yeppoon,-23.13,150.73,80.6,36,2,8.05,AU,1599279420
Jinchang,38.5,102.17,74.5,24,78,22.84,CN,1599279664
Mugango,-1.68,33.7,66.2,82,20,2.89,TZ,1599279664
Beroroha,-21.67,45.17,60.71,66,0,5.57,MG,1599279665
Esim,4.87,-2.24,75.18,86,94,8.72,GH,1599279370
Hambantota,6.12,81.12,86.0,74,20,13.87,LK,1599279665
Touba,8.28,-7.68,69.12,97,83,4.68,CI,1599279666
Povenets,62.85,34.83,56.07,95,95,6.82,RU,1599279666
Karatau,43.17,70.47,68.63,24,0,3.44,KZ,1599279666
Cabedelo,-6.98,-34.83,71.6,94,75,6.93,BR,1599279406
Zaozyornoye,45.16,33.28,69.48,81,93,0.69,UA,1599279667
Aksarka,66.56,67.8,45.39,69,29,6.8,RU,1599279668
Brae,60.4,-1.35,51.8,81,43,23.04,GB,1599279343
Aran,40.63,46.98,62.6,88,9,2.24,AZ,1599279668
Moose Factory,51.26,-80.61,48.2,93,75,10.29,CA,1599279669
Rudolstadt,50.72,11.33,61.0,78,36,3.98,DE,1599279669
Itamaracá,-7.75,-34.83,77.0,65,21,8.05,BR,1599279669
North Vanlaiphai,23.13,93.07,80.69,67,65,1.81,IN,1599279670
Sangar,63.92,127.47,58.89,69,88,7.61,RU,1599279670
Klaksvík,62.23,-6.59,46.4,93,100,27.51,FO,1599279391
Makakilo City,21.35,-158.09,86.0,62,90,6.93,US,1599279408
Aswān,24.09,32.91,88.41,23,24,7.45,EG,1599279292
Tucumã,-0.18,-50.05,77.54,89,19,8.43,BR,1599279183
Wakkanai,45.41,141.67,78.8,74,75,3.36,JP,1599279672
Yar-Sale,66.83,70.83,46.81,66,14,13.06,RU,1599279051
Město Albrechtice,50.16,17.57,64.0,95,45,5.7,CZ,1599279672
Saint-Leu,-21.15,55.28,66.2,88,75,8.05,RE,1599279257
Plácido de Castro,-10.34,-67.19,78.35,55,22,1.01,BR,1599279673
Kurkino,53.43,38.66,59.02,55,100,9.8,RU,1599279673
Aleksandrov Gay,50.15,48.57,61.47,41,51,8.9,RU,1599279673
Lewistown,40.6,-77.57,66.2,52,1,9.17,US,1599279674
Kerema,-7.96,145.78,80.37,79,56,8.3,PG,1599279674
Heishan,41.69,122.11,77.9,62,10,15.82,CN,1599279675
Severo-Yeniseyskiy,60.37,93.04,48.31,92,100,9.15,RU,1599279675
Broome,42.25,-75.83,57.2,62,1,4.7,US,1599279675
Reyes,-14.32,-67.38,76.21,57,24,2.1,BO,1599279676
Sambava,-14.27,50.17,68.9,69,6,8.9,MG,1599279450
Rome,43.21,-75.46,57.0,81,1,5.82,US,1599279301
Barra da Estiva,-13.63,-41.33,56.95,91,44,2.77,BR,1599279677
Provincia di Imperia,43.97,7.78,71.6,60,0,1.12,IT,1599279677
Touros,-5.2,-35.46,71.6,94,75,6.93,BR,1599279395
Villavieja,39.85,-0.18,66.99,79,0,3.18,ES,1599279678
Alghero,40.56,8.32,62.6,93,0,1.12,IT,1599279678
